ticker,float_M,os_M
EVLV,133.86,179.87
EVMN,22.06,36.02
EVOK,1.54,1.72
EVOL,6.18,10.67
EVTL,66.58,127.33
EVTV,12.55,12.93
EWTX,86.43,107.59
EXAI,61.15,126.59
EXFY,62.23,96.44
EXK,295.53,295.69
EXN,31.11,35.4
EXOZ,2.31,8.48
EXPR,3.62,3.75
EXTN,32.34,33.32
EXYN,2.99,7.37907
EYPT,83.28,83.84
EZGO,2.17153,2.30587
EZPW,56.16,61.54
EZRA,0.54375,0.55575
FAAS,23.88,66.28
FABC,4.81,4.86
FAMI,9.64,13.82
FARM,18.55,21.73
FARO,18.39,19.23
FAT,8.06,17.94
FATE,114.31,116.56
FATH,1.5,6.87
FATN,1,14.02
FAZE,48.95,77.5
FBGL,4.13,13.5
FBIO,29.96,35.63
FBLG,6.02,6.03
FBRX,20.32,20.48
FBSS,,
FCCO,8.96,9.4
FCEL,52.91,52.98
FCHL,1.23,1.25
FCUV,2.48,2.91
FDMT,68.15,69.21
FEAM,24.62,41.52
FEBO,3.06,11.06
FEDU,0.46,2.26
FEED,6.09,6.09
FEIM,6.7,9.84
FEMY,58.52,60.39
